31-Dec-2017

PERMIT,PROCESSOR NAME,PLANT LOCATION,ENDORSEMENT,PRIMARY OWNER,ADDRESS 1,ADDRESS 2,CITY,STATE,ZIP CODE
27989,GLOBAL SEAFOODS NORTH AMERICA LLC,KODIAKAK,SHP,GLOBAL SEAFOODS NORTH AMERICA LLC,1750 112TH AVE. NE B-221,,BELLEVUE,WA,98004
27990,TRIDENT SEAFOODS CORPORATION,KODIAKAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
27991,S.E. ALASKA SMOKED SALMON CO. INC. DBA TAKU FIS,JUNEAUAK,SHP,BAUMGART HANK,PO BOX 21203,,JUNEAU,AK,99802
28113,PETER PAN SEAFOODS INC.,DILLINGHAMAK,SHP,PETER PAN SEAFOODS INC.,2200 6TH AVE STE 1000,,SEATTLE,WA,98121
28695,ISLAND FISH CO. LLC,KODIAKAK,SHP,ISLAND FISH CO. LLC,317 SHELIKOF STREET,,KODIAK,AK,99615
28721,COPPER RIVER SEAFOODS INC.,ANCHORAGEAK,SHP,BLAKE SCOTT A,1118 E 5TH AVE,,ANCHORAGE,AK,99501
29550,POLAR EQUIPMENT INC D.B.A. POLAR SEAFOODS,SEWARDAK,SHP,POLAR EQUIPMENT INC D.B.A. POLAR SEAFOODS,1035 W NORTHERN LIGHTS BLVD,,ANCHORAGE,AK,99503
30131,SEA LEVEL SEAFOODS LLC,SEWARDAK,SHP,SEA LEVEL SEAFOODS LLC,PO BOX 2085,,WRANGELL,AK,99929
30474,TRIDENT SEAFOODS CORPORATION,NAKNEKAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
30479,TRIDENT SEAFOODS CORPORATION,KETCHIKANAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
30481,TRIDENT SEAFOODS CORPORATION,PETERSBURGAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
30482,TRIDENT SEAFOODS CORPORATION,PETERSBURGAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
30483,TRIDENT SEAFOODS CORPORATION,CORDOVAAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
30485,TRIDENT SEAFOODS CORPORATION,KETCHIKANAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
30814,NORTON SOUND ECONOMIC SEAFOOD PRODUCTS,SAVOONGAAK,SHP,NSEDC,2701 GAMBELL ST SUITE 400,,ANCHORAGE,AK,99503
30883,OCEAN BEAUTY SEAFOODS LLC,KODIAKAK,SHP,OCEAN BEAUTY SEAFOODS LLC,1100 WEST EWING STREET,,SEATTLE,WA,98119
30884,OCEAN BEAUTY SEAFOODS LLC,ALITAKAK,SHP,OCEAN BEAUTY SEAFOODS LLC,1100 WEST EWING STREET,,SEATTLE,WA,98119
30885,OCEAN BEAUTY SEAFOODS LLC,CORDOVAAK,SHP,OCEAN BEAUTY SEAFOODS LLC,1100 WEST EWING STREET,,SEATTLE,WA,98119
30886,OCEAN BEAUTY SEAFOODS LLC,EXCURSION INLETAK,SHP,OCEAN BEAUTY SEAFOODS LLC,1100 WEST EWING STREET,,SEATTLE,WA,98119
30909,KODIAK FISHMEAL COMPANY,KODIAKAK,SHP,KODIAK FISHMEAL COMPANY,915 GIBSON COVE ROAD,,KODIAK,AK,99615
31027,CORDOVA NORTH,CORDOVAAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
31134,PEP'S PACKING,GUSTAVUSAK,SHP,COBY-SCOTT LAURA,PO BOX 23,,GUSTAVUS,AK,99826
31357,E.C. PHILLIPS & SON INC.,CRAIGAK,SHP,E.C. PHILLIPS & SON INC.,PO BOX 7095,,KETCHIKAN,AK,99901
31588,COPPER RIVER SEAFOODS - RETAIL LLC,ANCHORAGEAK,SHP,COPPER RIVER SEAFOODS INC.,1118 E 5TH AVENUE,,ANCHORAGE,AK,99501
31589,TRIDENT SEAFOODS CORPORATION,WRANGELLAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
31813,MYSTIC SALMON,YAKUTATAK,SHP,MYSTIC SALMON,PO BOX 126,,YAKUTAT,AK,99689
32824,COPPER RIVER SEAFOODS INC.,KENAIAK,SHP,COPPER RIVER SEAFOODS INC.,1118 E 5TH AVENUE,,ANCHORAGE,AK,99501
32927,HOONAH COLD STORAGE,HOONAHAK,SHP,BAUMGART HANK,PO BOX 21203,,JUNEAU,AK,99802
32928,PICKLED WILLYS LLC,KODIAKAK,SHP,PICKLED WILLYS LLC,328 B SHELIKOF ST,,KODIAK,AK,99615
33603,SEA ALEUTIANS SEAFOODS LLC,DUTCH HARBORAK,SHP,DINH TUYEN,PO BOX 920186,,DUTCH HARBOR,AK,99692
33659,FISH FROM TRISH,KETCHIKANAK,SHP,PEARSON TRISHA E,PO BOX 506,,WARD COVE,AK,99928
33697,HART SALES CORP,ADAKAK,SHP,HARTMAN PETER,1230 LYALL ST,,VICTORIA,BC,V9A 5G9
33746,NORTHERN FISH ALASKA LLC,CORDOVAAK,SHP,SWANES JOHN R,PO BOX 9615,,TACOMA,WA,98409
33919,ALASKA WILD SEAFOODS LLC,CORDOVAAK,SHP,VU THAI M,PO BOX 1502,,CORDOVA,AK,99574
33956,HOME PORT SEAFOODS INC,BELLINGHAM WA,SHP,BINSCHUS GLEN,2875 ROEDER AVE #11,,BELLINGHAM,WA,98225
33969,TRIDENT SEAFOODS CORPORATION,KODIAKAK,SHP,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVE NW -AK SUPP,,SEATTLE,WA,98107
33980,YAKOBI FISHERIES LLC,PELICANAK,SHP,YAKOBI FISHERIES LLC,PO BOX 13,,PELICAN,AK,99832
34070,COPPER RIVER SEAFOODS INC.,CORDOVAAK,SHP,COPPER RIVER SEAFOODS INC.,1118 E 5TH AVENUE,,ANCHORAGE,AK,99501
34140,SITKA SALMON ALASKA HOLDINGS LLC,SITKAAK,SHP,SITKA SALMON ALASKA HOLDINGS LLC,216 SMITH ST #B,,SITKA,AK,99835
34166,COPPER RIVER SEAFOODS INC.,NAKNEKAK,SHP,COPPER RIVER SEAFOODS INC.,1118 E 5TH AVENUE,,ANCHORAGE,AK,99501
34291,HOOKED SEAFOODS COMPANY ALASKA,JUNEAUAK,SHP,LABARGE TRACY,PO BOX 21082,,JUNEAU,AK,99802
34308,NOYES ISLAND SMOKEHOUSE,CRAIGAK,SHP,NOYES ISLAND SMOKEHOUSE,PO BOX 314,,CRAIG,AK,99921
34375,COPPER RIVER SEAFOODS INC.,TOGIAKAK,SHP,COPPER RIVER SEAFOODS INC.,1118 E 5TH AVENUE,,ANCHORAGE,AK,99501
34440,COPPER RIVER SEAFOODS INC.,ANCHORAGEAK,SHP,COPPER RIVER SEAFOODS INC.,1118 E 5TH AVENUE,,ANCHORAGE,AK,99501
34486,PREMIER HARVEST ADAK LLC,ADAKAK,SHP,PREMIER HARVEST ADAK LLC,1685 H STREET #1278,,BLAINE,WA,98239
34505,ALASKAN FISH FACTORY LTD,HOMERAK,SHP,SEVEN SEAS FISH CO. LTD,12411 VULCAN WAY,,RICHMOND,BC,V6V1J7
34544,FREDERICK SOUND SEAFOOD COMPANY,KAKEAK,SHP,BUNNELL JACK,6428 NE 182ND ST,,KENMORE,WA,98028
34548,E&E FOODS INC DBA YAKUTAT SEAFOODS,YAKUTAT AK,SHP,HOUSE NAMLAS,PO BOX 419,,YAKUTAT,AK,99689
34556,NORTHPORT FISHERIES INC.,KING COVEAK,SHP,GOODNIGHT KEITH,6105 61ST AVE SE,,SNOHOMISH,WA,92890
34565,PURE PACIFIC SEAFOOD INC. - WASHINGTON,MERCER ISLAND WA,SHP,BESECKER TYLER,8814 SE 39TH ST,,MERCER ISLAND,WA,98040
34639,ALASKA'S BEST SEAFOOD LLC,DILLINGHAMAK,SHP,BALL GERALD,PO BOX 542,,DILLINGHAM,AK,99576
34655,HAIDA WILD ALASKA SEAFOODS LLC,HYDABURG AK,SHP,HAIDA WILD ALASKA SEAFOODS LLC,PO BOX 27,,HYDABURG,AK,99922
34707,GOLDEN HARVEST ALASKA SEAFOOD LLC,ADAKAK,SHP,GOLDEN HARVEST ALASKA SEAFOOD LLC,2219 RIMLAND DR,,BELLINGHAM,WA,98226

Endorsement Codes: BSA=Bering Sea/Aleutian Islands   GOA=Gulf of Alaska   CAT=Catcher Vessel
CPR=Catcher/Processor   MTH=Mothership 3-200   SFP=Stationary Floating Processor
SUP=Support Vessel   TEN=Tender   HAL=Hook and Line   JIG=Jig/Troll   POT=Pot   TRW=Trawl
1HLA542=Atka Mackerel 1st HLA 542 1HLA543=Atka Mackerel 1st HLA 543   2HLA542=Atka Mackerel 2nd HLA 542
2HLA543=Atka Mackerel 2nd HLA 543   GOI=GOA Inshore Processing CHL=PCod Hook and Line
CPT=PCod Pot   CTW=PCod Trawl   PHL=Pollock Hook and Line   PPT=Pollock Pot   PTW=Pollock Trawl
AHL=Atka Mackerel Hook and Line   APT=Atka Mackerel Pot   ATW=Atka Mackerel Trawl

